Wavelength (nm) - Plot 0,Amplitude - Plot 0,Wavelength (nm) - Plot 1,Amplitude - Plot 1
1480,5.73571,,
1480.004959,4.543447,,
1480.009966,5.09238,,
1480.014973,5.556459,,
1480.01998,4.680926,,
1480.024987,4.224744,,
1480.029994,4.706252,,
1480.035001,5.649866,,
1480.03996,4.922996,,
1480.044967,5.558103,,
1480.049974,4.846692,,
1480.054981,5.611056,,
1480.059988,5.070015,,
1480.064995,4.080357,,
1480.070002,4.432279,,
1480.074961,4.787819,,
1480.079968,5.120994,,
1480.084975,4.800317,,
1480.089982,5.064752,,
1480.094989,5.409111,,
1480.099996,5.038111,,
1480.105003,4.751969,,
1480.109962,5.000288,,
1480.114969,4.84735,,
1480.119976,5.521266,,
1480.124983,4.908525,,
1480.12999,4.337885,,
1480.134997,4.459906,,
1480.140004,4.521739,,
1480.144963,4.968385,,
1480.14997,4.843732,,
1480.154977,5.441672,,
1480.159984,4.959504,,
1480.164991,4.728617,,
1480.169998,4.175409,,
1480.175005,4.82334,,
1480.179964,4.856888,,
1480.184971,4.45892,,
1480.189978,4.609226,,
1480.194985,4.88912,,
1480.199992,5.204206,,
1480.204999,4.28263,,
1480.210006,5.15816,,
1480.214965,5.362078,,
1480.219972,4.885502,,
1480.224979,4.473062,,
1480.229986,5.064752,,
1480.234993,4.611858,,
1480.24,5.375234,,
1480.245007,4.803277,,
1480.249966,4.518779,,
1480.254973,4.321111,,
1480.25998,4.422741,,
1480.264987,4.43491,,
1480.269994,4.843732,,
1480.275001,4.335254,,
1480.280008,5.398257,,
1480.284967,4.666455,,
1480.289974,4.285919,,
1480.294981,4.391166,,
1480.299988,4.462866,,
1480.304995,4.412216,,
1480.310002,5.145333,,
1480.315009,5.003577,,
1480.319968,4.311902,,
1480.324975,5.22986,,
1480.329982,4.883529,,
1480.334989,4.830247,,
1480.339996,5.148622,,
1480.345003,5.163751,,
1480.35001,4.840443,,
1480.354969,5.114087,,
1480.359976,5.371287,,
1480.364983,4.669415,,
1480.36999,4.950953,,
1480.374997,4.411558,,
1480.380004,5.50811,,
1480.385011,4.959504,,
1480.38997,4.887475,,
1480.394977,4.210272,,
1480.399984,5.213415,,
1480.404991,4.977923,,
1480.409998,4.247767,,
1480.415005,4.485231,,
1480.420012,4.731248,,
1480.424971,4.893724,,
1480.429978,5.330175,,
1480.434985,4.815775,,
1480.439992,5.598229,,
1480.444999,5.079224,,
1480.450006,4.795055,,
1480.455013,4.603635,,
1480.459972,4.927272,,
1480.464979,5.579482,,
1480.469986,4.813802,,
1480.474993,4.873662,,
1480.48,4.240202,,
1480.485007,5.036796,,
1480.490014,4.232308,,
1480.494973,4.989105,,
1480.49998,5.323926,,
1480.504987,5.3407,,
1480.509994,4.541802,,
1480.515001,4.269474,,
1480.520008,4.960491,,
1480.525015,5.707753,,
1480.529975,5.040743,,
1480.534981,5.108167,,
1480.539988,4.717763,,
1480.544995,4.91905,,
1480.550002,5.605465,,
1480.555009,4.771374,,
1480.560016,4.39018,,
1480.564976,4.295457,,
1480.569982,4.776965,,
1480.574989,4.860834,,
1480.579996,5.064752,,
1480.585003,5.396613,,
1480.59001,4.901618,,
1480.595017,4.446421,,
1480.599977,5.315703,,
1480.604983,4.980554,,
1480.60999,5.333464,,
1480.614997,4.687504,,
1480.620004,5.141057,,
1480.625011,4.317822,,
1480.630018,5.136781,,
1480.634978,5.270315,,
1480.639985,4.325716,,
1480.644991,4.71875,,
1480.649998,4.268816,,
1480.655005,4.673691,,
1480.660012,5.581455,,
1480.665019,5.642302,,
1480.669979,4.904249,,
1480.674986,4.215863,,
1480.679992,5.004893,,
1480.684999,5.576193,,
1480.690006,5.269657,,
1480.695013,5.231834,,
1480.70002,5.045018,,
1480.70498,4.49773,,
1480.709987,4.878266,,
1480.714994,4.995354,,
1480.72,4.480627,,
1480.725007,5.116719,,
1480.730014,5.570272,,
1480.735021,4.759533,,
1480.739981,5.649209,,
1480.744988,5.241372,,
1480.749995,5.839643,,
1480.755001,5.133164,,
1480.760008,5.246634,,
1480.765015,5.070344,,
1480.770022,4.965753,,
1480.774982,4.895698,,
1480.779989,5.576193,,
1480.784996,4.589821,,
1480.790002,4.992065,,
1480.795009,4.711185,,
1480.800016,4.899974,,
1480.805023,4.814131,,
1480.809983,4.562852,,
1480.81499,5.01476,,
1480.819997,5.203219,,
1480.825004,5.537053,,
1480.83001,4.228033,,
1480.835017,4.996012,,
1480.840024,5.164738,,
1480.844984,4.601004,,
1480.849991,4.42307,,
1480.854998,4.97266,,
1480.860005,5.035151,,
1480.865011,5.162436,,
1480.870018,4.438199,,
1480.875025,5.094682,,
1480.879985,5.33149,,
1480.884992,4.436226,,
1480.889999,4.831891,,
1480.895006,4.605609,,
1480.900012,5.485087,,
1480.905019,4.958847,,
1480.910026,5.577179,,
1480.914986,4.43491,,
1480.919993,4.670073,,
1480.925,4.818077,,
1480.930007,5.265053,,
1480.935014,4.81742,,
1480.94002,5.366683,,
1480.945027,4.822024,,
1480.949987,4.911156,,
1480.954994,5.240056,,
1480.960001,4.290194,,
1480.965008,5.159147,,
1480.970015,4.714474,,
1480.975021,5.110798,,
1480.980028,4.917734,,
1480.984988,5.111456,,
1480.989995,5.2986,,
1480.995002,4.530948,,
1481.000009,5.381154,,
1481.005016,4.550682,,
1481.010022,5.382799,,
1481.015029,5.260119,,
1481.019989,4.484574,,
1481.024996,4.490823,,
1481.030003,5.079224,,
1481.03501,5.302876,,
1481.040017,4.860506,,
1481.045024,5.059819,,
1481.05003,4.809526,,
1481.055037,4.389851,,
1481.059997,4.200405,,
1481.065004,4.494441,,
1481.070011,5.06837,,
1481.075018,5.159147,,
1481.080025,4.355974,,
1481.085031,5.401217,,
1481.090038,4.988776,,
1481.094998,4.785188,,
1481.100005,4.447408,,
1481.105012,4.479969,,
1481.110019,5.021995,,
1481.115026,4.678953,,
1481.120033,5.316032,,
1481.125039,4.323413,,
1481.129999,4.434581,,
1481.135006,5.051596,,
1481.140013,4.497401,,
1481.14502,4.856559,,
1481.150027,5.39135,,
1481.155034,4.682571,,
1481.16004,5.061134,,
1481.165,5.502519,,
1481.170007,4.878595,,
1481.175014,5.434765,,
1481.180021,5.022324,,
1481.185028,4.356303,,
1481.190035,4.650997,,
1481.195041,4.377353,,
1481.200001,5.06837,,
1481.205008,4.622053,,
1481.210015,4.502005,,
1481.215022,4.922668,,
1481.220029,4.16916,,
1481.225036,5.244661,,
1481.230043,5.191379,,
1481.235002,5.238412,,
1481.240009,4.33328,,
1481.245016,4.726972,,
1481.250023,4.381299,,
1481.25503,5.428516,,
1481.260037,5.201575,,
1481.265044,4.899316,,
1481.270003,5.249265,,
1481.27501,5.504163,,
1481.280017,4.429319,,
1481.285024,5.075935,,
1481.290031,5.669929,,
1481.295038,4.869057,,
1481.300045,4.606924,,
1481.305004,4.904578,,
1481.310011,4.996012,,
1481.315018,4.204023,,
1481.320025,5.136453,,
1481.325032,4.314533,,
1481.330039,5.27788,,
1481.335046,5.611714,,
1481.340005,4.943388,,
1481.345012,5.654471,,
1481.350019,5.162765,,
1481.355026,5.560076,,
1481.360033,4.521081,,
1481.36504,5.432134,,
1481.370047,4.964767,,
1481.375006,5.128559,,
1481.380013,4.759204,,
1481.38502,4.909183,,
1481.390027,4.642774,,
1481.395034,4.56943,,
1481.400041,5.409111,,
1481.405048,4.504637,,
1481.410007,4.41386,,
1481.415014,5.118363,,
1481.420021,5.700846,,
1481.425028,5.087775,,
1481.430035,4.40794,,
1481.435042,5.389048,,
1481.440049,4.977923,,
1481.445008,5.692953,,
1481.450015,5.216046,,
1481.455022,4.976936,,
1481.460029,4.298417,,
1481.465036,5.083829,,
1481.470043,4.868728,,
1481.47505,5.592967,,
1481.480009,5.343331,,
1481.485016,4.811171,,
1481.490023,5.096985,,
1481.49503,5.323597,,
1481.500037,5.160133,,
1481.505044,4.403993,,
1481.510051,5.315703,,
1481.51501,4.657903,,
1481.520017,5.670587,,
1481.525024,4.786832,,
1481.530031,5.15816,,
1481.535038,5.403191,,
1481.540045,4.949308,,
1481.545052,4.574363,,
1481.550011,4.484574,,
1481.555018,5.25387,,
1481.560025,4.943717,,
1481.565032,4.239873,,
1481.570039,4.988119,,
1481.575046,5.560076,,
1481.580053,4.905565,,
1481.585012,4.285261,,
1481.590019,4.8263,,
1481.595026,5.121323,,
1481.600033,5.403191,,
1481.60504,5.042058,,
1481.610047,5.151911,,
1481.615054,4.992065,,
1481.620013,4.328347,,
1481.62502,4.334596,,
1481.630027,4.891422,,
1481.635034,5.099945,,
1481.640041,5.14632,,
1481.645048,5.041729,,
1481.650055,4.779596,,
1481.655014,4.437541,,
1481.660021,5.317348,,
1481.665028,4.88912,,
1481.670035,5.204206,,
1481.675042,5.091393,,
1481.680049,4.505294,,
1481.685056,4.693425,,
1481.690015,4.263554,,
1481.695022,4.957202,,
1481.700029,4.932863,,
1481.705036,4.801304,,
1481.710043,4.636525,,
1481.71505,4.50661,,
1481.720057,5.06245,,
1481.725016,5.618292,,
1481.730023,5.360434,,
1481.73503,4.714145,,
1481.740037,5.601847,,
1481.745044,4.781241,,
1481.750051,4.523384,,
1481.755058,4.306311,,
1481.760017,5.200588,,
1481.765024,5.10126,,
