Wavelength (nm) - Plot 0,Amplitude - Plot 0,Wavelength (nm) - Plot 1,Amplitude - Plot 1
1480,4.40498,,
1480.005007,3.875454,,
1480.010014,4.241846,,
1480.014973,3.96327,,
1480.01998,3.794216,,
1480.024987,4.215863,,
1480.029994,3.784349,,
1480.035001,4.237242,,
1480.040008,3.659697,,
1480.045015,4.057006,,
1480.049974,3.621216,,
1480.054981,3.291661,,
1480.059988,3.782376,,
1480.064995,3.234104,,
1480.070002,3.862298,,
1480.075009,4.334267,,
1480.080016,3.721201,,
1480.084975,3.479132,,
1480.089982,3.645554,,
1480.094989,4.092527,,
1480.099996,4.274736,,
1480.105003,4.215206,,
1480.11001,3.687982,,
1480.115017,3.895188,,
1480.119976,4.209614,,
1480.124983,3.920184,,
1480.12999,3.871178,,
1480.134997,3.579446,,
1480.140004,4.224086,,
1480.145011,3.993528,,
1480.150018,4.353343,,
1480.155025,4.398402,,
1480.159984,3.854733,,
1480.164991,4.220139,,
1480.169998,4.115878,,
1480.175005,4.140875,,
1480.180012,4.071148,,
1480.185019,3.417299,,
1480.190026,3.830066,,
1480.194985,3.951429,,
1480.199992,3.509391,,
1480.204999,4.082331,,
1480.210006,4.002737,,
1480.215013,3.358098,,
1480.22002,3.982017,,
1480.225027,4.220139,,
1480.229986,3.338693,,
1480.234993,3.793558,,
1480.24,3.973465,,
1480.245007,3.92742,,
1480.250014,3.343297,,
1480.255021,3.633385,,
1480.260028,3.358098,,
1480.264987,4.344134,,
1480.269994,3.81099,,
1480.275001,4.36913,,
1480.280008,3.985306,,
1480.285015,3.884663,,
1480.290022,3.35152,,
1480.295029,3.920513,,
1480.299988,3.794545,,
1480.304995,4.162911,,
1480.310002,4.07345,,
1480.315009,3.314026,,
1480.320016,3.644239,,
1480.325023,3.840591,,
1480.33003,3.82283,,
1480.334989,3.446242,,
1480.339996,3.759682,,
1480.345003,3.766589,,
1480.35001,4.017867,,
1480.355017,4.290194,,
1480.360024,3.438349,,
1480.365031,4.374064,,
1480.36999,3.984977,,
1480.374997,3.770864,,
1480.380004,4.215863,,
1480.385011,4.029049,,
1480.390018,4.344134,,
1480.395025,3.746526,,
1480.400032,3.563001,,
1480.404991,4.310586,,
1480.409998,3.4321,,
1480.415005,3.80211,,
1480.420012,4.247109,,
1480.425019,4.152057,,
1480.430026,3.82875,,
1480.435033,3.92742,,
1480.439992,3.69456,,
1480.444999,4.204352,,
1480.450006,3.564974,,
1480.455013,3.717583,,
1480.46002,3.299225,,
1480.465027,3.895517,,
1480.470034,3.30383,,
1480.474993,3.987937,,
1480.48,4.403993,,
1480.485007,3.959652,,
1480.490014,4.399389,,
1480.495021,3.993528,,
1480.500028,3.704756,,
1480.505035,3.866574,,
1480.509994,3.853746,,
1480.515001,4.01688,,
1480.520008,4.198432,,
1480.525015,4.306311,,
1480.530022,4.059966,,
1480.535029,4.333938,,
1480.540036,3.929722,,
1480.544995,4.323413,,
1480.550002,3.385725,,
1480.555009,3.949127,,
1480.560016,3.321261,,
1480.565023,3.573526,,
1480.57003,4.007671,,
1480.575037,4.000435,,
1480.579996,4.232637,,
1480.585003,3.778758,,
1480.59001,3.356124,,
1480.595017,3.980701,,
1480.600024,3.875125,,
1480.605031,3.267651,,
1480.610038,4.128376,,
1480.614997,3.959323,,
1480.620004,4.059966,,
1480.625011,3.869534,,
1480.630018,3.39033,,
1480.635025,4.020169,,
1480.640032,3.630425,,
1480.645039,3.709031,,
1480.649998,3.711663,,
1480.655005,4.123772,,
1480.660012,3.630425,,
1480.665019,4.000106,,
1480.670026,4.207312,,
1480.675033,4.143177,,
1480.68004,4.433594,,
1480.684999,3.835657,,
1480.690006,4.0945,,
1480.695013,3.62582,,
1480.70002,4.04977,,
1480.705027,4.036285,,
1480.710034,4.204023,,
1480.715041,4.061939,,
1480.72,3.561685,,
1480.725007,4.199747,,
1480.730014,3.821514,,
1480.735021,3.418615,,
1480.740028,3.774482,,
1480.745035,3.418286,,
1480.750042,3.96327,,
1480.755001,3.850786,,
1480.760008,3.356782,,
1480.765015,3.880058,,
1480.770022,4.032009,,
1480.775029,4.277367,,
1480.780036,3.767904,,
1480.785043,4.23494,,
1480.790002,3.691271,,
1480.795009,3.651803,,
1480.800016,3.436047,,
1480.805023,3.792571,,
1480.81003,3.730081,,
1480.815037,3.320604,,
1480.820044,3.783362,,
1480.825004,4.003395,,
1480.83001,4.152386,,
1480.835017,4.3096,,
1480.840024,3.957349,,
1480.845031,3.985963,,
1480.850038,3.749815,,
1480.855045,3.76626,,
